mjd	F5100	F5100err	F4265	F4265err	F3750	F3750err	Halpha	Halphaerr	Hbeta	Hbetaerr	HeII4686	HeII4686err	HeI4471	HeI4471err	HeI5876	HeI5876err	dataset
46828.0	3.14000	0.09000	3.97000	0.10000	9.00000	0.20000	1656.00000	24.00000	477.90000	9.80000	108.30000	5.20000	30.80000	5.20000	68.70000	5.40000	BK99
47229.0	2.57000	0.08000	2.83000	0.10000	5.20000	0.20000	1499.00000	22.00000	389.30000	8.90000	58.10000	4.20000	20.60000	4.40000	54.70000	4.70000	BK99
47438.0	1.77000	0.07000	1.96000	0.10000	2.90000	0.40000	1112.00000	18.00000	287.30000	7.90000	37.20000	3.70000	17.60000	4.20000	33.10000	3.70000	BK99
47574.0	3.06000	0.09000	3.53000	0.10000	6.60000	0.40000	1439.00000	21.00000	347.00000	8.50000	60.50000	4.20000	26.70000	4.90000	51.10000	4.60000	BK99
47663.0	4.43000	0.12000	5.27000	0.10000	12.50000	0.40000	1744.00000	24.00000	475.10000	9.80000	159.20000	6.20000	25.80000	4.80000	61.80000	5.10000	BK99
47828.0	1.98000	0.07000	1.99000	0.10000			1520.00000	22.00000	357.90000	8.60000	30.60000	3.60000	22.50000	4.60000	41.70000	4.10000	BK99
48651.8	5.68100	0.11400							545.10000	10.90000	153.20000	12.30000					WHP98
48670.9	5.39500	0.24500							581.20000	26.40000	182.80000	14.60000					WHP98
48676.8	5.03600	0.10100							526.50000	10.50000	129.50000	10.40000					WHP98
48691.9	4.31200	0.08600							529.40000	10.60000	86.10000	6.90000					WHP98
48699.8	4.38700	0.19900							509.10000	23.10000	116.40000	9.30000					WHP98
48726.8	4.41200	0.08800							486.80000	9.70000	79.50000	6.40000					WHP98
48733.7	4.73600	0.09500							482.60000	9.70000	120.90000	9.70000					WHP98
48742.8	4.87500	0.18700							469.40000	18.10000	127.50000	10.20000					WHP98
48632.0	5.93000	0.15000	7.56000	0.10000	15.10000	0.40000	1995.00000	27.00000	624.50000	11.20000	237.60000	7.80000	41.70000	5.90000	103.00000	7.20000	BK99
48812.0	3.24000	0.09000					2091.00000	28.00000	494.90000	9.90000	101.20000	5.00000	36.10000	5.50000	95.60000	6.80000	BK99
48860.0	2.86000	0.09000					1673.00000	24.00000	421.40000	9.20000	80.70000	4.60000	35.40000	5.50000	70.70000	5.50000	BK99
48862.0	3.26000	0.10000					1782.00000	25.00000	454.90000	9.50000	92.10000	4.80000	32.60000	5.30000	81.70000	6.10000	BK99
48954.0	3.67200	0.07300							404.20000	8.10000	111.00000	8.90000					WHP98
48973.0	3.51900	0.07000							429.30000	8.60000	111.80000	8.90000					WHP98
48980.9	2.79700	0.05600							434.40000	8.70000	48.70000	3.90000					WHP98
48992.0	3.16100	0.06300							393.20000	7.90000	65.70000	5.30000					WHP98
49000.0	3.39800	0.06800							411.50000	8.20000	103.70000	8.30000					WHP98
49008.9	3.25000	0.06500							406.20000	8.10000	86.80000	6.90000					WHP98
49013.8	3.58800	0.07200							401.00000	8.00000	103.60000	8.30000					WHP98
49020.9	3.54800	0.07100							403.30000	8.10000	124.70000	10.00000					WHP98
49029.9	3.42400	0.06800							404.20000	8.10000	89.90000	7.20000					WHP98
49048.8	3.97500	0.07900							420.60000	8.40000	146.30000	11.70000					WHP98
49056.9	4.47800	0.09300							412.50000	8.60000	148.00000	11.80000					WHP98
49062.8	3.72600	0.09600							439.00000	11.30000	136.20000	10.90000					WHP98
