mjd	heii_flux	heii_flux_err	heii_offset	heii_offset_err	heii_width	heii_width_err	hb_flux	hb_flux_err	hb_offset	hb_offset_err	hb_width	hb_width_err
52961.00000	0.37325	0.05219	1733.54393	147.42868	1734.94827	173.13410	0.50531	0.02640	479.63581	30.16599	969.39217	38.15003
52975.00000	0.50059	0.05648	1394.69747	107.63610	1811.68506	125.72285	0.62527	0.02701	413.46805	23.11610	891.88872	28.07390
52988.00000	0.60667	0.26275	1461.51487	565.64520	2706.38682	788.11471	0.55170	0.02989	346.20365	28.95462	814.54014	34.46623
52997.00000	0.48705	0.05320	1166.12136	98.36369	1650.87021	111.19943	0.78025	0.02854	354.14520	17.82377	849.19908	21.02542
53001.00000	0.48765	0.06091	1017.59016	137.22058	1971.76251	162.46445	0.87478	0.02996	334.99992	15.77751	838.53226	18.51617
53005.00000	0.35181	0.04800	994.90562	135.54971	1419.91748	149.04720	0.85486	0.02931	326.79626	15.56276	865.13127	18.74317
53016.00000	0.14309	0.04070	1430.23864	301.07960	1264.14268	332.24513	0.78568	0.02937	353.08247	17.79281	878.47109	21.92316
53019.00000	0.27767	0.03887	1409.96472	142.13354	1491.00045	158.54324	0.80718	0.02710	303.09595	14.77811	834.91643	17.64130
53021.00000	0.46980	0.06408	1443.58976	152.55613	1708.50872	180.47456	0.74642	0.02744	325.11542	17.41963	859.09172	21.11565
53047.00000	0.41179	0.05832	1221.93646	150.27952	1570.09100	168.72199	0.94696	0.03295	311.91218	16.11377	865.82972	19.40934
53049.00000	0.52766	0.07583	1106.53581	170.88332	2059.69137	206.52444	0.97717	0.03433	314.50884	16.34745	860.53586	19.62903
53064.00000	0.71576	0.07758	833.20873	104.21989	1866.30164	120.14956	0.92509	0.03189	289.75867	15.36139	821.65229	18.19854
53076.00000	1.00000	0.11346	1382.45894	111.95878	2226.54636	141.51785	1.00000	0.03421	305.95571	15.61254	845.36112	18.45275
53082.00000	1.08829	0.11838	1541.00348	100.01466	2125.87213	125.04516	1.06178	0.03656	302.63223	15.67008	831.40776	18.51025
53092.00000	1.33796	0.14054	1049.73174	99.05671	2093.61805	119.19205	1.16409	0.03812	277.63868	13.60584	829.12204	16.38626
53108.00000	1.50866	0.14102	912.69734	70.04615	1976.54418	82.29630	1.29344	0.04039	268.94002	12.10042	804.02461	14.35906
53112.00000	1.42776	0.14774	905.21824	92.70622	1854.85801	107.07802	1.27803	0.04222	263.71288	13.61869	811.72456	16.34542
53122.00000	1.24251	0.12383	919.12566	84.80384	1899.23688	98.46129	1.38487	0.04309	261.46691	12.15769	814.76283	14.42708
53137.00000	0.80792	0.07833	716.88093	77.52439	1798.79814	88.55859	1.37558	0.04081	253.01958	10.91593	775.76864	12.43817
53741.00000	1.10662	0.09756	1009.61658	50.34904	1840.31950	59.01840	1.53106	0.05040	286.72078	12.40635	860.55551	16.07265
54116.00000	1.64943	0.20540	935.69093	137.79097	1950.85193	161.75987	2.04522	0.06908	195.53396	14.44000	788.64349	16.95462
54122.00000	1.60162	0.15817	995.52373	80.07334	1916.53956	95.06046	1.85405	0.05725	199.80409	10.45187	763.03241	12.85583
55179.00000	1.00519	0.11708	913.13002	115.62910	1696.15028	130.95099	1.52244	0.05228	245.23173	14.93574	887.82348	18.69624
57539.00000	3.18870	0.26159	1332.94854	24.10977	2065.59553	29.34858	1.98794	0.06233	137.61261	12.11875	791.46610	14.37491
57801.00000	1.43189	0.12106	962.88766	38.60429	1955.63114	45.22908	1.70304	0.05049	130.65248	10.58771	788.37424	12.41240
58430.00000	1.22018	0.12147	1358.97086	82.46770	2114.39573	101.94865	1.03907	0.04069	185.71342	18.54241	780.61719	21.99947
58431.00000	1.22000	0.15339	1376.03062	133.59507	2160.43731	167.87023	1.00257	0.04066	169.53176	18.85840	782.84166	22.87551
58432.00000	1.13361	0.12665	1197.33578	111.43128	2141.59369	137.11630	0.99731	0.04008	203.59725	18.91604	795.65175	22.95993
58433.00000	1.11029	0.11571	1260.50636	93.60939	2014.30684	112.77727	1.04005	0.03952	196.68915	17.67339	791.72239	21.08568
58463.00000	1.15021	0.12569	749.57881	107.72276	1903.68231	124.93508	1.22071	0.04372	146.58030	15.73429	772.86368	18.63106
58521.00000	0.96921	0.09861	646.97298	88.54827	1749.68765	100.02220	1.28113	0.04241	123.98848	13.35581	754.32480	15.68434
58555.00000	0.93439	0.17558	704.27154	241.99120	1820.87261	278.00671	1.24236	0.04751	141.31473	17.23361	744.74409	20.24271
